City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Dhubri,26.03,89.97,77.79,94,100,5.03,IN,1600988144
Springbok,-29.66,17.89,49.71,80,0,4.85,ZA,1600988144
Torbay,47.67,-52.73,60.01,82,20,21.92,CA,1600987835
Ponta do Sol,32.67,-17.1,73.4,78,20,4.7,PT,1600987929
Karonga,-9.93,33.93,70.74,66,1,4.63,MW,1600988145
Dhidhdhoo,6.88,73.1,81.37,80,100,13.22,MV,1600987820
Margate,51.38,1.39,51.01,80,67,17.18,GB,1600988145
Hvide Sande,56.0,8.13,51.01,78,93,12.73,DK,1600988145
Geraldton,-28.77,114.6,59.0,100,90,6.93,AU,1600987833
Yafran,32.06,12.53,82.13,23,0,8.68,LY,1600988146
Malakal,9.53,31.66,72.36,95,63,3.83,SS,1600988146
Le Mars,42.79,-96.17,84.99,42,1,8.05,US,1600988128
Bom Jesus,-9.07,-44.36,84.15,31,42,5.39,BR,1600988046
Mahon,39.89,4.27,77.0,69,74,14.99,ES,1600988105
Gornopravdinsk,60.05,69.9,35.46,89,0,6.73,RU,1600988147
The Pas,53.83,-101.25,57.2,71,75,24.16,CA,1600988147
Casa Grande,32.88,-111.76,102.99,14,1,8.05,US,1600988148
Muyezerskiy,63.93,31.65,54.25,93,72,8.32,RU,1600988148
Kaeo,-35.1,173.78,66.7,55,90,5.21,NZ,1600987858
Griffith,41.53,-87.42,78.01,44,1,6.93,US,1600987917
Kismayo,-0.36,42.55,77.13,76,30,14.14,SO,1600987858
Ostrovnoy,68.05,39.51,50.31,89,100,11.05,RU,1600987906
Khatanga,71.97,102.5,41.79,83,62,7.61,RU,1600987973
Talnakh,69.49,88.4,41.0,93,90,6.71,RU,1600987863
Mandalī,33.75,45.55,81.82,22,0,7.27,IQ,1600988149
Upernavik,72.79,-56.15,22.32,81,0,11.14,GL,1600987976
Gambiran,-6.8,111.5,75.76,81,71,5.23,ID,1600988150
Birin,26.89,88.07,63.0,100,100,1.72,NP,1600988150
Brae,60.4,-1.35,44.6,75,100,9.17,GB,1600988150
Gobabis,-22.45,18.97,72.36,21,63,13.02,NA,1600988150
Castanheira do Ribatejo,38.99,-8.97,63.0,77,69,3.36,PT,1600988151
Mogadishu,2.04,45.34,76.39,78,17,14.81,SO,1600987922
Broken Hill,-31.95,141.43,44.6,87,75,14.99,AU,1600987865
San Luis,-33.3,-66.34,74.07,45,58,5.64,AR,1600988151
Pacific Grove,36.62,-121.92,75.99,60,1,13.87,US,1600987835
Hulan,45.98,126.6,62.01,70,96,3.62,CN,1600988152
Saint-Augustin,51.23,-58.65,48.63,59,46,9.98,CA,1600987786
Tarauacá,-8.16,-70.77,81.43,64,77,1.77,BR,1600987913
Turukhansk,65.82,87.98,35.73,96,44,2.93,RU,1600988152
Pilar,-9.6,-35.96,75.2,83,75,6.93,BR,1600988153
Shakawe,-18.37,21.85,70.3,24,0,2.51,BW,1600988153
Yar-Sale,66.83,70.83,37.31,89,3,9.01,RU,1600988153
Asău,46.43,26.4,57.0,93,30,4.43,RO,1600987841
Longyearbyen,78.22,15.64,32.0,92,75,9.17,SJ,1600987928
Esperance,-33.87,121.9,46.4,93,90,6.93,AU,1600987849
Coyhaique,-45.58,-72.07,53.6,79,20,5.82,CL,1600987964
Los Llanos de Aridane,28.66,-17.92,77.0,65,98,3.36,ES,1600987836
Mossamedes,-15.2,12.15,62.49,88,25,5.82,AO,1600987776
Chapais,49.78,-74.85,46.4,52,1,9.17,CA,1600987942
Shimoda,34.67,138.95,66.0,85,45,5.99,JP,1600987989
